Links,Procesion
https://lahora.gt/nacionales/jmaldonado/2026/02/15/cuaresma-comienza-esta-semana-estas-son-las-primeras-tres-procesiones-en-la-capital/,Jesús Nazareno de la Indulgencia (o de las Tres Gracias)
"https://lahora.gt/nacionales/jmaldonado/2026/02/15/cuaresma-comienza-esta-semana-estas-son-las-primeras-tres-procesiones-en-la-capital/, https://www.prensalibre.com/vida/escenario/miercoles-de-ceniza-2026-horarios-y-recorrido-de-las-procesiones-y-misas-en-ciudad-de-guatemala/",Jesús Nazareno de la Justicia
https://lahora.gt/nacionales/jmaldonado/2026/02/15/cuaresma-comienza-esta-semana-estas-son-las-primeras-tres-procesiones-en-la-capital/,Procesión del Primer Jueves de Cuaresma (La del Silencio)
"https://cucuruchoenguatemala.com/calendario-de-procesiones-2026/, https://cucuruchoenguatemala.com/recorrido-de-jesus-del-consuelo-primer-domingo/",Mayor - La Recolección
"https://cucuruchoenguatemala.com/calendario-de-procesiones-2026/, https://gis.muniguate.com/procesiones/",Mayor - El Calvario
"https://cucuruchoenguatemala.com/calendario-de-procesiones-2026/, https://gis.muniguate.com/procesiones/",Mayor - Parroquia Nuestra Señora de la Asunción (Jocotenango)
https://cucuruchoenguatemala.com/calendario-de-procesiones-2026/,"Mayor - Parroquia de Santo Domingo, zona 1"
"https://cucuruchoenguatemala.com/calendario-de-procesiones-2026/, https://cucuruchoenguatemala.com/recorrido-de-la-virgen-de-dolores-de-san-jose/",Mayor - San José
"https://cucuruchoenguatemala.com/calendario-de-procesiones-2026/, https://gis.muniguate.com/procesiones/",Mayor - Aldea de Santa Ana
"https://cucuruchoenguatemala.com/calendario-de-procesiones-2026/, https://gis.muniguate.com/procesiones/",Infantil - San José
"https://cucuruchoenguatemala.com/calendario-de-procesiones-2026/, https://cucuruchoenguatemala.com/recorrido-del-cristo-de-esquipulas-2/","Mayor - Santuario de Guadalupe, zona 1"
"https://cucuruchoenguatemala.com/calendario-de-procesiones-2026/, https://cucuruchoenguatemala.com/recorrido-de-jesus-de-la-buena-muerte-2025/","Mayor - Parroquia de Santo Domingo, zona 1"
"https://cucuruchoenguatemala.com/calendario-de-procesiones-2026/, https://cucuruchoenguatemala.com/recorrido-procesion-infantil-de-catedral/","Infantil - Catedral Metropolitana, zona 1"
"https://cucuruchoenguatemala.com/calendario-de-procesiones-2026/, https://gis.muniguate.com/procesiones/",Mayor - Aldea de San Bartolomé Becerra
"https://cucuruchoenguatemala.com/calendario-de-procesiones-2026/, https://gis.muniguate.com/procesiones/",Infantil - La Recolección
https://cucuruchoenguatemala.com/calendario-de-procesiones-2026/,Mayor - San José
"https://cucuruchoenguatemala.com/calendario-de-procesiones-2026/, https://gis.muniguate.com/procesiones/",Mayor - La Recolección
https://cucuruchoenguatemala.com/calendario-de-procesiones-2026/,"Mayor - Rectoría de Santa Catalina, zona 1"
"https://cucuruchoenguatemala.com/calendario-de-procesiones-2026/, https://cucuruchoenguatemala.com/recorrido-de-jesus-justo-juez-de-capuchinas/","Mayor - Rectoría San Miguel de Capuchinas, zona 1"
"https://cucuruchoenguatemala.com/calendario-de-procesiones-2026/, https://cucuruchoenguatemala.com/recorrido-de-la-procesion-infantil-de-la-recoleccion/",Infantil - La Recolección
https://cucuruchoenguatemala.com/calendario-de-procesiones-2026/,"Mayor - Rectoría de San Sebastián, zona 1"
https://cucuruchoenguatemala.com/calendario-de-procesiones-2026/,"Mayor - Parroquia Inmaculada Concepción, zona 1"
"https://cucuruchoenguatemala.com/calendario-de-procesiones-2026/, https://gis.muniguate.com/procesiones/",Mayor - San José
"https://cucuruchoenguatemala.com/calendario-de-procesiones-2026/, https://gis.muniguate.com/procesiones/",Mayor - Parroquia de la Santa Cruz (goes through Zona 1)
"https://cucuruchoenguatemala.com/calendario-de-procesiones-2026/, https://gis.muniguate.com/procesiones/",Mayor - Templo de la Merced
"https://cucuruchoenguatemala.com/calendario-de-procesiones-2026/, https://gis.muniguate.com/procesiones/",Mayor - Santa Iglesia Catedral (Xela)
"https://cucuruchoenguatemala.com/calendario-de-procesiones-2026/, https://cucuruchoenguatemala.com/recorrido-procesion-de-la-resena-2025/","Mayor - Parroquia La Merced, zona 1"
https://cucuruchoenguatemala.com/calendario-de-procesiones-2026/,"Mayor - Iglesia del Beaterio de Belén, zona 1"
https://cucuruchoenguatemala.com/calendario-de-procesiones-2026/,Mayor - Rectoría Nuestra Señora del Carmen (8 avenida y 10 calle) zona 1
"https://cucuruchoenguatemala.com/calendario-de-procesiones-2026/, https://gis.muniguate.com/procesiones/",Mayor - Rectoría de Santa Teresa
"https://cucuruchoenguatemala.com/calendario-de-procesiones-2026/, https://cucuruchoenguatemala.com/recorrido-de-jesus-del-rescate-2025/","Mayor - Rectoría de Santa Teresa, zona 1"
https://cucuruchoenguatemala.com/calendario-de-procesiones-2026/,"Mayor - Parroquia Santa María Magdalena, zona 1"
